"Region","Date","Rainfall","MaxTemp","MinTemp"
"Macquarie Park",2022-12-01,0,21.6,14.4
"Macquarie Park",2022-12-02,0,23.2,13.2
"Macquarie Park",2022-12-03,0,24.2,13.8
"Macquarie Park",2022-12-04,0,26.7,14.6
"Macquarie Park",2022-12-05,0,32.3,16.4
"Macquarie Park",2022-12-06,4,23.6,14.4
"Macquarie Park",2022-12-07,0,28.2,15.9
"Macquarie Park",2022-12-08,0,23.3,13.6
"Macquarie Park",2022-12-09,0,20.6,15.4
"Macquarie Park",2022-12-10,0,22.9,12.6
"Macquarie Park",2022-12-11,0,30,21
"Macquarie Park",2022-12-12,0,31,10.1
"Macquarie Park",2022-12-13,13,28.6,11.4
"Macquarie Park",2022-12-14,0,25,10.7
"Macquarie Park",2022-12-15,0,24.1,12.9
"Macquarie Park",2022-12-16,1,21.2,13.2
"Macquarie Park",2022-12-17,0,20.6,13.3
"Macquarie Park",2022-12-18,7,20.7,14.7
"Macquarie Park",2022-12-19,3,22,13.3
"Macquarie Park",2022-12-20,0,21.9,13.5
"Macquarie Park",2022-12-21,0,23.5,12.6
"Macquarie Park",2022-12-22,0,23.7,15.7
"Macquarie Park",2022-12-23,0,31.1,16.6
"Macquarie Park",2022-12-24,0,33.7,19.1
"Macquarie Park",2022-12-25,0,29.1,17.6
"Macquarie Park",2022-12-26,0,32.3,17.2
"Macquarie Park",2022-12-27,0,30.1,18.5
"Macquarie Park",2022-12-28,0,30.8,19.7
"Macquarie Park",2022-12-29,0,23.8,18.5
"Macquarie Park",2022-12-30,3,25.8,17
"Macquarie Park",2022-12-31,0,27,19.2
"Macquarie Park",2023-01-01,5,26.8,17.4
"Macquarie Park",2023-12-01,6,27.9,19.5
"Macquarie Park",2023-12-02,0,26.5,14.3
"Macquarie Park",2023-12-03,24,27.4,17.8
"Macquarie Park",2023-12-04,2,25.1,15.7
"Macquarie Park",2023-12-05,0,34.5,21.2
"Macquarie Park",2023-12-06,0,26,17.7
"Macquarie Park",2023-12-07,0,29.5,19.6
"Macquarie Park",2023-12-08,0,37.7,22.6
"Macquarie Park",2023-12-09,0,42.5,21.1
"Macquarie Park",2023-12-10,0,27.3,21.7
"Macquarie Park",2023-12-11,0,30.1,21.4
"Macquarie Park",2023-12-12,0,29.1,19.4
"Macquarie Park",2023-12-13,0,30.6,22.1
"Macquarie Park",2023-12-14,0,39.4,21.2
"Macquarie Park",2023-12-15,0,27.3,18.5
"Macquarie Park",2023-12-16,0,36.9,20.2
"Macquarie Park",2023-12-17,0,27.2,19.2
"Macquarie Park",2023-12-18,0,29.8,23.5
"Macquarie Park",2023-12-19,0,34.5,18.2
"Macquarie Park",2023-12-20,12,19.4,16.7
"Macquarie Park",2023-12-21,24,23.1,16.6
"Macquarie Park",2023-12-22,0,24.2,18
"Macquarie Park",2023-12-23,0,25.4,19.3
"Macquarie Park",2023-12-24,0,23.5,18.2
"Macquarie Park",2023-12-25,20,28.4,21.1
"Macquarie Park",2023-12-26,1,29.9,18.9
"Macquarie Park",2023-12-27,2,25.8,16.1
"Macquarie Park",2023-12-28,22,31.7,18.3
"Macquarie Park",2023-12-29,0,26.7,17.1
"Macquarie Park",2023-12-30,1,27.9,17
"Macquarie Park",2023-12-31,5,21.6,18
"Macquarie Park",2024-01-01,13,26.1,19.2
"Macquarie Park",2024-12-01,1,32.5,17.1
"Macquarie Park",2024-12-02,6,36.1,19.7
"Macquarie Park",2024-12-03,0,34.2,21.5
"Macquarie Park",2024-12-04,0,25.9,20.3
"Macquarie Park",2024-12-05,0,27.6,21.9
"Macquarie Park",2024-12-06,0,31,22.4
"Macquarie Park",2024-12-07,10,30.5,20.9
"Macquarie Park",2024-12-08,9,30.9,18.5
"Macquarie Park",2024-12-09,2,24,19.9
"Macquarie Park",2024-12-10,0,25.6,20
"Macquarie Park",2024-12-11,0,26.6,16.8
"Macquarie Park",2024-12-12,0,32,20.7
"Macquarie Park",2024-12-13,0,33.6,21.6
"Macquarie Park",2024-12-14,0,28.8,21.6
"Macquarie Park",2024-12-15,0,28.1,22.6
"Macquarie Park",2024-12-16,0,31.3,20.5
"Macquarie Park",2024-12-17,0,36.5,17.2
"Macquarie Park",2024-12-18,6,22.9,16.9
"Macquarie Park",2024-12-19,0,23.9,16.3
"Macquarie Park",2024-12-20,0,26.1,15.7
"Macquarie Park",2024-12-21,0,33.2,20.3
"Macquarie Park",2024-12-22,0,27.3,21
"Macquarie Park",2024-12-23,0,29.9,12.9
"Macquarie Park",2024-12-24,0,24.9,15.3
"Macquarie Park",2024-12-25,0,29.3,18.1
"Macquarie Park",2024-12-26,0,31.3,21.1
"Macquarie Park",2024-12-27,1,38.2,18.8
"Macquarie Park",2024-12-28,0,26.8,16
"Macquarie Park",2024-12-29,0,30.1,18.7
"Macquarie Park",2024-12-30,0,27.6,19
"Macquarie Park",2024-12-31,0,28.3,21
"Macquarie Park",2025-01-01,0,32.3,21.1
